TYPE	CORPUS	TEXTCODE	original_arabish	CODE	original_WORDS	original_TOKEN	POS	original_LEMMA	nota radice	GOVERNORATE	original_GOVERNORATE	AGE_RANGE	GENDER
forum	3fE	20151004	Yosra	arabizi	يوسرا	يوسرا	NOUN_PROP	يوسرا	NOUN_PROP	Tunis	Tunis	25-35	F
forum	3fE	20151004	Pretty	arabizi	Pretty	Pretty	NOUN_PROP	Pretty	NOUN_PROP	Tunis	Tunis	25-35	F
forum	3fE	20151004	:	arabizi	:	:	PUNC	PUNC	PUNC	Tunis	Tunis	25-35	F
forum	3fE	20151004	ena	arabizi	انا	انا	PRON_1S	هو	انا	Tunis	Tunis	25-35	F
forum	3fE	20151004	tghithni	arabizi	تغيضني	تغيض'+ني	IV3FS-IV'+IVSUFF_DO:1S	تغاض	غيض	Tunis	Tunis	25-35	F
forum	3fE	20151004	tounes	arabizi	تونس	تونس	NOUN_PROP	تونس	NOUN_PROP	Tunis	Tunis	25-35	F
forum	3fE	20151004	wallah	arabizi	والله	والله	INTERJ	والله	INTERJ	Tunis	Tunis	25-35	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150301	R7	foreign	R7	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150301	patee	arabizi	باتي	باتي	NOUN	باتي	باتي	/	/	35-50	F
facebook	CJs	20150301	dieri	arabizi	دياري	دياري	ADJ	دياري	دور	/	/	35-50	F
facebook	CJs	20150301	w	arabizi	و	و	CONJ	و	و	/	/	35-50	F
facebook	CJs	20150301	bniiiiiiiiiinnnn	arabizi	بنين	بنين	ADJ	بنين	بنن	/	/	35-50	F
facebook	CJs	20150301	recette	foreign	recette	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150301	:	arabizi	:	:	PUNC	PUNC	PUNC	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150301	3	arabizi	3	3	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150301	kissen	arabizi	كيسان	كيسان	NOUN	كاس	كاس	/	/	35-50	F
facebook	CJs	20150301	farine	foreign	farine	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	kes	arabizi	كاس	كاس	NOUN	كاس	كاس	/	/	35-50	F
facebook	CJs	20150301	7lib	arabizi	حليب	حليب	NOUN	حليب	حلب	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	chtar	arabizi	شطر	شطر	NOUN_QUANT	شطر	شطر	/	/	35-50	F
facebook	CJs	20150301	kess	arabizi	كاس	كاس	NOUN	كاس	كاس	/	/	35-50	F
facebook	CJs	20150301	zit	arabizi	زيت	زيت	NOUN	زيت	زيت	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	غرف	/	/	35-50	F
facebook	CJs	20150301	kbira	arabizi	كبيرة	كبيرة	ADJ-NSUFF_FEM_SG	كبير	كبر	/	/	35-50	F
facebook	CJs	20150301	5miret	arabizi	خميرة	خميرة	NOUN-NSUFF_FEM_SG	خميرة	خمر	/	/	35-50	F
facebook	CJs	20150301	5obz	arabizi	خبز	خبز	NOUN	خبز	خبز	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	غرف	/	/	35-50	F
facebook	CJs	20150301	kbira	arabizi	كبيرة	كبيرة	ADJ-NSUFF_FEM_SG	كبير	كبر	/	/	35-50	F
facebook	CJs	20150301	5miret	arabizi	خميرة	خميرة	NOUN-NSUFF_FEM_SG	خميرة	خمر	/	/	35-50	F
facebook	CJs	20150301	gateaux	foreign	gateaux	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	غرف	/	/	35-50	F
facebook	CJs	20150301	s8ira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير	صغر	/	/	35-50	F
facebook	CJs	20150301	mel7	arabizi	ملح	ملح	NOUN	ملح	ملح	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	غرف	/	/	35-50	F
facebook	CJs	20150301	s8ira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير	صغر	/	/	35-50	F
facebook	CJs	20150301	soker	arabizi	سكر	سكر	NOUN	سكّر	سكر	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150301	7achw	arabizi	حشو	حشو	NOUN	حشو	حشو	/	/	35-50	F
facebook	CJs	20150301	:	arabizi	:	:	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150301	4	arabizi	4	4	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150301	3adhmet	arabizi	عظمات	عظمات	NOUN-NSUFF_FEM_PL	عظم	عظم	/	/	35-50	F
facebook	CJs	20150301	masmoutin	arabizi	مصموطين	مصموطين	ADJ-NSUFF_MASC_PL	مصموط	صمط	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	2	arabizi	2	2	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150301	batata	arabizi	بطاطة	بطاطة	NOUN-NSUFF_FEM_SG	بطاطة	بطط	/	/	35-50	F
facebook	CJs	20150301	mo9liya	arabizi	مقليّة	مقليّة	ADJ-NSUFF_FEM_SG	مقلي	مقل	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	thon	foreign	thon	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	ma3dnous	arabizi	معدنوس	معدنوس	NOUN	معدنوس	معدنوس	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	zitoun	arabizi	زيتون	زيتون	NOUN-NSUFF_MASC_PL	زيتون	زيت	/	/	35-50	F
facebook	CJs	20150301	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150301	jben	arabizi	جبن	جبن	NOUN	جبن	جبن	/	/	35-50	F
facebook	CJs	20150301	rapé	foreign	rapé	foreign	foreign	foreign	foreign	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150301	w	arabizi	و	و	CONJ	و	و	/	/	35-50	F
facebook	CJs	20150301	tfourem	arabizi	تفورم	تفورم	CV2S-CV	فورم	فورم	/	/	35-50	F
facebook	CJs	20150301	kima	arabizi	كيما	كيما	SUB_CONJ	كيما	كي	/	/	35-50	F
facebook	CJs	20150301	theb	arabizi	تحبّ	تحبّ	IV2S-IV	حبّ	حبب	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	Brik	arabizi	بريك	بريك	NOUN_PROP	بريك	NOUN_PROP	/	/	35-50	F
facebook	CJs	20150411	el	arabizi	ال	ال	DET	ال	ال	/	/	35-50	F
facebook	CJs	20150411	mahdiya	arabizi	مهدية	مهدية	NOUN_PROP	مهدية	NOUN_PROP	/	/	35-50	F
facebook	CJs	20150411	sa7a	arabizi	صحّة	صحّة	[NOUN-NSUFF_FEM_SG]INTERJ	صحّة	صحح	/	/	35-50	F
facebook	CJs	20150411	w	arabizi	و	و	CONJ	و	و	/	/	35-50	F
facebook	CJs	20150411	bechfee	arabizi	بالشفى	ب'+ال'+شفى	[PREP'+DET'+NOUN]INTERJ	شفا	شفي	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	r7	foreign	r7	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150411	Recette	foreign	Recette	foreign	foreign	foreign	foreign	/	/	35-50	F
facebook	CJs	20150411	brik	arabizi	بريك	بريك	NOUN_PROP	بريك	NOUN_PROP	/	/	35-50	F
facebook	CJs	20150411	mahdia	arabizi	مهدية	مهدية	NOUN_PROP	مهدية	NOUN_PROP	/	/	35-50	F
facebook	CJs	20150411	_	arabizi	_	_	PUNC	PUNC	PUNC	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	Kayil	arabizi	كيّل	كيّل	CV2S-CV	كيّل	كيل	/	/	35-50	F
facebook	CJs	20150411	bay	arabizi	باي	ب'+اي	PREP'+PRON_INDEF	اي	اي	/	/	35-50	F
facebook	CJs	20150411	7aja	arabizi	حاجة	حاجة	NOUN-NSUFF_FEM_SG	حاجة	حوج	/	/	35-50	F
facebook	CJs	20150411	(	arabizi	)	)	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150411	kess	arabizi	كاس	كاس	NOUN	كاس	كاس	/	/	35-50	F
facebook	CJs	20150411	sa7fa	arabizi	صحفة	صحفة	NOUN-NSUFF_FEM_SG	صحفة	صحف	/	/	35-50	F
facebook	CJs	20150411	finjen	arabizi	فنجان	فنجان	NOUN	فنجان	فنجن	/	/	35-50	F
facebook	CJs	20150411	......	arabizi	......	......	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150411	)	arabizi	(	(	PUNC	PUNC	PUNC	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	w	arabizi	و	و	CONJ	و	و	/	/	35-50	F
facebook	CJs	20150411	_	arabizi	_	_	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150411	Ajina	arabizi	عجينة	عجينة	NOUN-NSUFF_FEM_SG	عجينة	عجن	/	/	35-50	F
facebook	CJs	20150411	:	arabizi	:	:	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150411	4	arabizi	4	4	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	kilet	arabizi	كيلات	كيلات	NOUN_QUANT-NSUFF_FEM_PL	كيلة	كيل	/	/	35-50	F
facebook	CJs	20150411	farina	arabizi	فارينة	فارينة	NOUN-NSUFF_FEM_SG	فارينة	فارين	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	1	arabizi	1	1	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	كيل	/	/	35-50	F
facebook	CJs	20150411	w	arabizi	و	و	CONJ	و	و	/	/	35-50	F
facebook	CJs	20150411	4	arabizi	4	4	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	mgharef	arabizi	مغارف	مغارف	NOUN	مغرفة	غرف	/	/	35-50	F
facebook	CJs	20150411	mekla	arabizi	ماكلة	ماكلة	NOUN-NSUFF_FEM_SG	ماكلة	أكل	/	/	35-50	F
facebook	CJs	20150411	kbar	arabizi	كبار	كبار	ADJ	كبير	كبر	/	/	35-50	F
facebook	CJs	20150411	zebda	arabizi	زبدة	زبدة	NOUN-NSUFF_FEM_SG	زبدة	زبد	/	/	35-50	F
facebook	CJs	20150411	deyba	arabizi	ذايبة	ذايبة	ADJ-NSUFF_FEM_SG	ذايب	ذوب	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	chweya	arabizi	شويّة	شويّة	[NOUN_QUANT]ADV	شويّة	شوي	/	/	35-50	F
facebook	CJs	20150411	zhar	arabizi	زهر	زهر	NOUN	زهر	زهر	/	/	35-50	F
facebook	CJs	20150411	+	arabizi	+	+	SYM	SYM	SYM	/	/	35-50	F
facebook	CJs	20150411	mei	arabizi	ما	ما	NOUN	ما	موه	/	/	35-50	F
facebook	CJs	20150411	deifi	arabizi	دافي	دافي	ADJ	دافي	دفء	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	_	arabizi	_	_	PUNC	PUNC	PUNC	/	/	35-50	F
facebook	CJs	20150411	Hachw	arabizi	حشو	حشو	NOUN	حشو	حشو	/	/	35-50	F
facebook	CJs	20150411	:	arabizi	:	:	PUNC	PUNC	PUNC	/	/	35-50	F
<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
facebook	CJs	20150411	nefs	arabizi	نفس	نفس	NOUN_QUANT	نفس	نفس	/	/	35-50	F
facebook	CJs	20150411	el	arabizi	ال	ال	DET	ال	ال	/	/	35-50	F
facebook	CJs	20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	كيل	/	/	35-50	F
facebook	CJs	20150411	keyil	arabizi	كيّل	كيّل	CV2S-CV	كيّل	كيل	/	/	35-50	F
facebook	CJs	20150411	biha	arabizi	بها	ب'+ها	PREP'+PRON_3FS	ب	ب	/	/	35-50	F
facebook	CJs	20150411	1	arabizi	1	1	NOUN_NUM	NOUN_NUM	NOUN_NUM	/	/	35-50	F
facebook	CJs	20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	كيل	/	/	35-50	F
facebook	CJs	20150411	louz	arabizi	لوز	لوز	NOUN	لوز	لوز	/	/	35-50	F
